Site_Name,Latitude,Longitude,Site_type,Elevation in feet,Prec (chelsa),Temp (chelsa aprile),RecAvgIndex
357,42.8808,-72.7075,still water,1473,1225,67,-0.011850773188436
358,43.85347,-72.6469,running water,603,779,72,-0.364242031426275
359,44.08845,-72.5575,still water,892,848,62,3.6277439702041
360,44.173,-73.0828,still water,500,1123,70,-0.49171737225442
361,44.49146,-73.18567,still water,200,956,75,-0.709634215560198
362,44.5397,-73.26398,running water,98,908,76,-0.49855024876228
363,44.27124,-72.48521,running water,689,832,66,1.1760341956983
364,44.7561,-73.1532,still water,278,967,71,2.10290930927683
365,44.50133,-73.14513,still water,200,950,73,-0.486833534127699
366,43.52361,-73.2425,still water,420,778,80,-0.508200927240697
367,44.83567,-71.71506,still water,1264,923,50,1.06650369896549
368,44.83352,-71.75685,running water,1257,930,49,-0.385850407095499
369,44.24648,-72.43514,still water,1635,1184,56,-0.448944495013383
